Path,Category,Referenced by active script,Referenced by manuscript,Referenced by supplement,Referenced by manifest,Required for regeneration,Unique provenance value,Final action,Reason
analysis_governance_profiles_robustness_dev/tables/transition_sensitivity_scenarios.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/two_stage_model_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/two_stage_pairwise_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/two_stage_profile_estimates.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/figures/actual_vs_spaced_outer_comparison.png,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/figures/fire_profile_contrasts_by_boundary_center.png,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/figures/revised_boundary_covariate_balance.png,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/figures/revised_pseudo_boundary_map.png,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/figures/sparse_profile_contrasts_by_boundary_center.png,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/provenance/sessionInfo.txt,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/actual_boundary_reproduction_check.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/actual_vs_all_outer_summary.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/actual_vs_spaced_outer_pairwise_comparison.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/actual_vs_spaced_outer_profile_comparison.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/boundary_specificity_classification.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv,authoritative analytical output,Yes,No,Yes,Yes,Yes,Yes,retain,referenced by active code; cited or embedded in the publication documents; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/fire_boundary_fit_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/fire_boundary_retained_fits.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/inner_check_pairwise_results.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/inner_check_profile_results.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/outer_gradient_pairwise_results.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/outer_gradient_profile_results.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/revised_boundary_balance_summary.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/revised_boundary_covariate_balance.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/revised_boundary_registry.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/sparse_boundary_sesu_year_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_falsification_revised_dev/tables/sparse_boundary_support.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/figures/covariate_balance_by_buffer.png,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/figures/event_support_by_threshold_and_buffer.png,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/figures/profile_contrasts_by_threshold_and_buffer.png,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/provenance/disturbance_threshold_manifest_resolved.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/provenance/sessionInfo.txt,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/provenance/tau025_reproduction_audit.md,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/covariate_balance_by_sesu.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/covariate_balance_summary.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/event_support_detailed.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/event_support_summary.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/fire_fit_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/fire_pairwise_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/fire_profile_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/input_raster_validation.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/rare_outcome_beta_binomial_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/rare_outcome_beta_binomial_profile_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_model_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_pairwise_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_profile_estimates.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_sesu_year_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/sparse_strata_flags.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/spatial_design_decision_matrix.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/spatial_threshold_contrast_comparison.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/spatial_threshold_pairwise_comparison.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/spatial_threshold_stability_summary.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/tau025_allcell_reproduction_check.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/tau025_cell_value_discrepancies_summary.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_spatial_threshold_sensitivity_dev/tables/tau025_input_comparison.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
candidate_file_manifest.csv,repository metadata,No,No,No,No,No,No,delete,Superseded candidate-era inventory replaced by the final retention manifest.
CITATION_PENDING.md,repository metadata,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
config/analysis_config.R,configuration,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
config/disturbance_measurement_versions.csv,configuration,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
config/disturbance_threshold_manifest.csv,configuration,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
config/fire_harmonized_2001_2022_manifest.csv,configuration,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
config/paths.example.R,configuration,No,No,No,Yes,Yes,No,retain,required for regeneration or validation
data/governance_profiles/README.md,sanitized data or manifest,No,No,No,Yes,Yes,No,retain,required for regeneration or validation
data/governance_profiles/upemba_sesu_year_profiles.csv,sanitized data or manifest,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
data/manifests/required_external_inputs.csv,sanitized data or manifest,No,No,No,Yes,No,No,retain,"retained publication-facing output, documentation, or repository metadata"
data/README.md,sanitized data or manifest,No,No,No,Yes,No,No,retain,"retained publication-facing output, documentation, or repository metadata"
data/upemba_sesu_year_regimes.csv,sanitized data or manifest,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
docs/decisions/authoritative_analysis_specification.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/decisions/fire_10km_optimizer_refinement_report.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/decisions/fire_2021_2022_harmonization_report.md,method or provenance documentation,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
docs/decisions/old_placebo_deprecation_note.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/decisions/spatial_boundary_falsification_design_revision.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/decisions/spatial_boundary_falsification_revised_report.md,method or provenance documentation,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
docs/decisions/spatial_threshold_sensitivity_report.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/decisions/stopped_pseudoboundary_screen.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/methods/governance_profile_mapping.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/provenance/disturbance_measurement_provenance_report.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/provenance/script_dependency_manifest.csv,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/provenance/software_environment.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/candidate_result_reproduction.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/code_path_refactor_validation.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/code_refactor_equivalence.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/downstream_execution_validation.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/execution_privacy_validation.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/fire_10km_optimizer_refinement_validation.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/frozen_result_reproduction.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/git_initialization_readiness.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/governance_profile_model_stability_report.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/governance_profile_phase2_validation.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/measurement_harmonization_validation.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/sanitization_validation.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
docs/validation/spatial_boundary_falsification_revised_validation.md,method or provenance documentation,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
docs/validation/spatial_threshold_phase3_validation.md,method or provenance documentation,No,No,No,Yes,No,Yes,retain,retains unique scientific or environment provenance
evidence/governance_episode_evidence_ledger.csv,sanitized evidence,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
evidence/README.md,sanitized evidence,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
outputs/publication/figure_source_data/Figure_1_layer_registry.csv,publication output or source,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
outputs/publication/figure_source_data/Figure_2_annual_trajectories.csv,publication output or source,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
outputs/publication/figure_source_data/Figure_2_chronology_time_series_old_style_candidate_pubqual_source_data.csv,publication output or source,No,No,No,No,No,No,delete,Duplicate candidate source data superseded by the two canonical Figure 2 source-data files.
